Date,Time,RBoom_Angle,* PRSTiltSensorBin,* PRSTiltSensorEng,NoName
5/9/2023,40:45.7,7.94,2010,76,4
5/9/2023,40:46.0,7.94,2010,76,4
5/9/2023,40:46.2,7.94,2009,75,4
5/9/2023,40:46.5,7.94,2009,75,4
5/9/2023,40:46.7,7.94,2010,76,4
5/9/2023,40:47.0,7.94,2010,76,4
5/9/2023,40:47.3,7.94,2009,75,4
5/9/2023,40:47.6,7.94,2009,75,4
5/9/2023,40:47.9,7.94,2010,76,4
5/9/2023,40:48.0,7.94,2010,76,4
5/9/2023,40:48.3,7.94,2010,76,4
5/9/2023,40:48.6,7.94,2010,76,4
5/9/2023,40:48.8,7.94,2010,76,4
5/9/2023,40:49.1,7.94,2010,76,4
5/9/2023,40:49.4,7.94,2009,75,4
5/9/2023,40:49.6,7.94,2009,75,4
5/9/2023,40:49.9,7.94,2009,75,4
5/9/2023,40:50.1,7.94,2009,75,4
5/9/2023,40:50.4,7.94,2009,75,4
5/9/2023,40:50.7,7.93,2009,75,4
5/9/2023,40:50.9,7.93,2010,76,4
5/9/2023,40:51.2,7.94,2010,76,4
5/9/2023,40:51.4,7.94,2010,76,4
5/9/2023,40:51.7,7.94,2010,76,4
5/9/2023,40:51.9,7.94,2011,77,4
5/9/2023,40:52.2,7.94,2011,77,4
5/9/2023,40:52.5,7.94,2010,76,4
5/9/2023,40:52.7,7.93,2010,76,4
5/9/2023,40:53.0,7.94,2009,75,4
5/9/2023,40:53.2,7.94,2009,75,4
5/9/2023,40:53.6,7.93,2010,76,4
5/9/2023,40:53.8,7.93,2010,76,4
5/9/2023,40:54.0,7.93,2010,76,4
5/9/2023,40:54.3,7.93,2010,76,4
5/9/2023,40:54.6,7.93,2010,76,4
5/9/2023,40:54.8,7.94,2010,76,4
5/9/2023,40:55.0,7.94,2010,76,4
5/9/2023,40:55.3,7.93,2010,76,4
5/9/2023,40:55.6,7.93,2010,76,4
5/9/2023,40:55.8,7.94,2010,76,4
5/9/2023,40:56.1,7.93,2010,76,4
5/9/2023,40:56.4,7.93,2010,76,4
5/9/2023,40:56.6,7.93,2010,76,4
5/9/2023,40:56.9,7.93,2010,76,4
5/9/2023,40:57.2,7.94,2010,76,4
5/9/2023,40:57.4,7.94,2010,76,4
5/9/2023,40:57.7,7.94,2011,77,4
5/9/2023,40:57.9,7.94,2011,77,4
5/9/2023,40:58.2,7.94,2011,77,4
5/9/2023,40:58.4,7.94,2011,77,4
5/9/2023,40:58.7,7.93,2011,77,4
5/9/2023,40:58.9,7.93,2011,77,4
5/9/2023,40:59.2,7.93,2011,77,4
5/9/2023,40:59.5,7.93,2011,77,4
5/9/2023,40:59.7,7.94,2009,75,4
5/9/2023,41:00.0,7.93,2009,75,4
5/9/2023,41:00.2,7.94,2010,76,4
5/9/2023,41:00.5,7.94,2010,76,4
5/9/2023,41:00.8,7.94,2011,77,4
